scenario,STRATEGIC_CITY_NAME,service_date,assignment_unit_id,job_count,unique_stop_count,distance_km,duration_min,region_id
current,"Atlanta, GA",2026-01-01,40324200,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-01,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-02,40324200,2,2,90.491,108.59,
current,"Atlanta, GA",2026-01-02,AI102608,2,1,0.0,0.0,
current,"Atlanta, GA",2026-01-02,JMOTOS2,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-02,SMCCOLLUM,2,2,77.813,93.38,
current,"Atlanta, GA",2026-01-05,40324200,2,2,27.296,32.76,
current,"Atlanta, GA",2026-01-05,43143200,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-05,AI102933,4,1,0.0,0.0,
current,"Atlanta, GA",2026-01-05,AI103146,3,3,12.509,15.01,
current,"Atlanta, GA",2026-01-05,AI103264,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-06,40324200,3,3,36.623,43.95,
current,"Atlanta, GA",2026-01-06,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-06,AI102087,2,2,25.686,30.82,
current,"Atlanta, GA",2026-01-06,AI102315,2,2,19.413,23.3,
current,"Atlanta, GA",2026-01-06,AI102448,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-06,AI103128,2,2,25.662,30.79,
current,"Atlanta, GA",2026-01-06,AI103146,3,3,20.059,24.07,
current,"Atlanta, GA",2026-01-06,AI103261,5,5,95.497,114.6,
current,"Atlanta, GA",2026-01-06,AI103264,2,2,3.948,4.74,
current,"Atlanta, GA",2026-01-06,AI105115,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-06,JMOTOS2,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-06,SMCCOLLUM,2,2,16.991,20.39,
current,"Atlanta, GA",2026-01-07,40324200,2,2,53.558,64.27,
current,"Atlanta, GA",2026-01-07,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-07,43143200,3,3,110.521,132.63,
current,"Atlanta, GA",2026-01-07,AI005576,2,2,15.705,18.85,
current,"Atlanta, GA",2026-01-07,AI102315,5,5,43.129,51.75,
current,"Atlanta, GA",2026-01-07,AI102448,2,2,24.723,29.67,
current,"Atlanta, GA",2026-01-07,AI103128,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-07,AI103146,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-07,AI103261,5,5,63.875,76.65,
current,"Atlanta, GA",2026-01-07,AI103264,3,3,6.655,7.99,
current,"Atlanta, GA",2026-01-07,AI105115,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-07,AI105116,2,2,26.067,31.28,
current,"Atlanta, GA",2026-01-07,SMCCOLLUM,2,2,89.327,107.19,
current,"Atlanta, GA",2026-01-08,40324200,6,6,142.949,171.54,
current,"Atlanta, GA",2026-01-08,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-08,43143200,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-08,AI005576,3,3,26.026,31.23,
current,"Atlanta, GA",2026-01-08,AI102315,2,2,16.377,19.65,
current,"Atlanta, GA",2026-01-08,AI102608,3,3,30.905,37.09,
current,"Atlanta, GA",2026-01-08,AI102933,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-08,AI102961,2,2,43.624,52.35,
current,"Atlanta, GA",2026-01-08,AI102977,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-08,AI103128,6,6,107.686,129.22,
current,"Atlanta, GA",2026-01-08,AI103146,5,5,29.011,34.81,
current,"Atlanta, GA",2026-01-08,AI103261,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-08,AI103264,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-08,AI105115,2,2,41.1,49.32,
current,"Atlanta, GA",2026-01-08,SMCCOLLUM,3,3,87.301,104.76,
current,"Atlanta, GA",2026-01-09,40324200,4,4,77.602,93.12,
current,"Atlanta, GA",2026-01-09,AI005576,2,2,11.554,13.86,
current,"Atlanta, GA",2026-01-09,AI102315,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-09,AI102608,2,2,8.32,9.98,
current,"Atlanta, GA",2026-01-09,AI102933,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-09,AI103264,2,2,10.011,12.01,
current,"Atlanta, GA",2026-01-09,AI105115,2,2,4.181,5.02,
current,"Atlanta, GA",2026-01-09,AI105116,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-09,SMCCOLLUM,4,4,62.874,75.45,
current,"Atlanta, GA",2026-01-10,40324200,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-12,40324200,5,5,51.358,61.63,
current,"Atlanta, GA",2026-01-12,40324201,4,4,51.354,61.62,
current,"Atlanta, GA",2026-01-12,AI005576,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-12,AI102087,3,3,47.723,57.27,
current,"Atlanta, GA",2026-01-12,AI102315,7,7,80.802,96.96,
current,"Atlanta, GA",2026-01-12,AI102448,2,2,40.082,48.1,
current,"Atlanta, GA",2026-01-12,AI102608,5,5,51.306,61.57,
current,"Atlanta, GA",2026-01-12,AI102933,3,3,13.672,16.41,
current,"Atlanta, GA",2026-01-12,AI102961,4,4,113.935,136.72,
current,"Atlanta, GA",2026-01-12,AI102977,4,4,30.625,36.75,
current,"Atlanta, GA",2026-01-12,AI103128,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-12,AI103146,8,8,87.04,104.45,
current,"Atlanta, GA",2026-01-12,AI103261,4,4,28.312,33.97,
current,"Atlanta, GA",2026-01-12,AI103264,3,3,33.102,39.72,
current,"Atlanta, GA",2026-01-12,AI103289,2,2,22.732,27.28,
current,"Atlanta, GA",2026-01-12,JMOTOS2,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-12,SMCCOLLUM,2,2,17.511,21.01,
current,"Atlanta, GA",2026-01-13,40324200,6,6,149.281,179.14,
current,"Atlanta, GA",2026-01-13,AI005576,2,2,14.673,17.61,
current,"Atlanta, GA",2026-01-13,AI102087,6,6,57.029,68.44,
current,"Atlanta, GA",2026-01-13,AI102315,3,3,23.915,28.7,
current,"Atlanta, GA",2026-01-13,AI102448,4,4,63.722,76.47,
current,"Atlanta, GA",2026-01-13,AI102608,5,5,36.333,43.6,
current,"Atlanta, GA",2026-01-13,AI102977,4,4,18.32,21.98,
current,"Atlanta, GA",2026-01-13,AI103128,5,5,68.829,82.59,
current,"Atlanta, GA",2026-01-13,AI103146,4,4,42.814,51.38,
current,"Atlanta, GA",2026-01-13,AI103261,3,3,12.136,14.56,
current,"Atlanta, GA",2026-01-13,AI103264,4,4,16.591,19.91,
current,"Atlanta, GA",2026-01-13,AI103289,5,5,71.715,86.06,
current,"Atlanta, GA",2026-01-13,AI103317,2,2,6.021,7.22,
current,"Atlanta, GA",2026-01-13,AI103976,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-13,SMCCOLLUM,2,2,25.837,31.0,
current,"Atlanta, GA",2026-01-14,40324200,5,5,65.872,79.05,
current,"Atlanta, GA",2026-01-14,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-14,AI005576,2,2,8.846,10.61,
current,"Atlanta, GA",2026-01-14,AI102087,2,2,10.95,13.14,
current,"Atlanta, GA",2026-01-14,AI102315,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-14,AI102448,3,3,45.864,55.04,
current,"Atlanta, GA",2026-01-14,AI102608,4,4,20.48,24.58,
current,"Atlanta, GA",2026-01-14,AI102933,8,1,0.0,0.0,
current,"Atlanta, GA",2026-01-14,AI102961,3,3,24.063,28.88,
current,"Atlanta, GA",2026-01-14,AI102977,5,5,21.851,26.22,
current,"Atlanta, GA",2026-01-14,AI103128,2,2,31.836,38.2,
current,"Atlanta, GA",2026-01-14,AI103146,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-14,AI103261,6,6,73.095,87.71,
current,"Atlanta, GA",2026-01-14,AI103264,2,2,6.989,8.39,
current,"Atlanta, GA",2026-01-14,AI103289,2,2,19.561,23.47,
current,"Atlanta, GA",2026-01-14,SMCCOLLUM,3,3,42.872,51.45,
current,"Atlanta, GA",2026-01-15,40324200,3,3,19.812,23.77,
current,"Atlanta, GA",2026-01-15,AI005576,3,3,16.832,20.2,
current,"Atlanta, GA",2026-01-15,AI102087,6,6,51.572,61.89,
current,"Atlanta, GA",2026-01-15,AI102315,2,2,37.629,45.15,
current,"Atlanta, GA",2026-01-15,AI102448,3,3,37.28,44.74,
current,"Atlanta, GA",2026-01-15,AI102608,8,7,54.834,65.8,
current,"Atlanta, GA",2026-01-15,AI102933,4,2,12.805,15.37,
current,"Atlanta, GA",2026-01-15,AI102961,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-15,AI102977,3,3,24.746,29.69,
current,"Atlanta, GA",2026-01-15,AI103128,3,3,56.481,67.78,
current,"Atlanta, GA",2026-01-15,AI103261,3,3,47.844,57.41,
current,"Atlanta, GA",2026-01-15,AI103264,2,2,15.708,18.85,
current,"Atlanta, GA",2026-01-15,AI103289,2,2,29.412,35.29,
current,"Atlanta, GA",2026-01-15,AI103317,3,3,36.82,44.18,
current,"Atlanta, GA",2026-01-15,AI103976,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-16,40324200,5,5,99.62,119.54,
current,"Atlanta, GA",2026-01-16,40324201,2,2,13.839,16.61,
current,"Atlanta, GA",2026-01-16,AI005576,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-16,AI102087,4,4,55.818,66.98,
current,"Atlanta, GA",2026-01-16,AI102448,4,4,43.6,52.32,
current,"Atlanta, GA",2026-01-16,AI102608,2,2,8.513,10.22,
current,"Atlanta, GA",2026-01-16,AI102933,3,3,40.59,48.71,
current,"Atlanta, GA",2026-01-16,AI102977,5,5,28.948,34.74,
current,"Atlanta, GA",2026-01-16,AI103128,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-16,AI103146,4,4,100.284,120.34,
current,"Atlanta, GA",2026-01-16,AI103261,5,5,85.38,102.46,
current,"Atlanta, GA",2026-01-16,AI103264,4,4,24.571,29.49,
current,"Atlanta, GA",2026-01-16,AI103289,3,3,57.448,68.94,
current,"Atlanta, GA",2026-01-17,AI103128,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-19,40324200,7,7,79.981,95.98,
current,"Atlanta, GA",2026-01-19,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-19,AI005576,2,2,17.558,21.07,
current,"Atlanta, GA",2026-01-19,AI102087,5,5,91.047,109.26,
current,"Atlanta, GA",2026-01-19,AI102315,7,7,96.414,115.7,
current,"Atlanta, GA",2026-01-19,AI102448,2,2,41.25,49.5,
current,"Atlanta, GA",2026-01-19,AI102608,4,4,41.004,49.21,
current,"Atlanta, GA",2026-01-19,AI102933,6,2,16.642,19.97,
current,"Atlanta, GA",2026-01-19,AI102961,3,2,20.926,25.11,
current,"Atlanta, GA",2026-01-19,AI102977,6,6,38.974,46.77,
current,"Atlanta, GA",2026-01-19,AI103128,2,2,31.948,38.34,
current,"Atlanta, GA",2026-01-19,AI103143,3,3,85.134,102.16,
current,"Atlanta, GA",2026-01-19,AI103261,3,3,28.658,34.39,
current,"Atlanta, GA",2026-01-19,AI103264,3,3,32.371,38.84,
current,"Atlanta, GA",2026-01-19,AI103289,3,3,47.545,57.05,
current,"Atlanta, GA",2026-01-19,AI103976,4,1,0.0,0.0,
current,"Atlanta, GA",2026-01-20,40324200,5,5,127.293,152.75,
current,"Atlanta, GA",2026-01-20,AI005576,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-20,AI102087,2,2,14.637,17.56,
current,"Atlanta, GA",2026-01-20,AI102315,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-20,AI102448,2,2,30.115,36.14,
current,"Atlanta, GA",2026-01-20,AI102608,5,3,13.926,16.71,
current,"Atlanta, GA",2026-01-20,AI102933,6,6,59.406,71.29,
current,"Atlanta, GA",2026-01-20,AI102961,3,3,47.17,56.6,
current,"Atlanta, GA",2026-01-20,AI102977,4,4,25.894,31.07,
current,"Atlanta, GA",2026-01-20,AI103128,4,4,99.832,119.8,
current,"Atlanta, GA",2026-01-20,AI103143,6,6,130.065,156.08,
current,"Atlanta, GA",2026-01-20,AI103146,3,3,17.861,21.43,
current,"Atlanta, GA",2026-01-20,AI103261,2,2,37.601,45.12,
current,"Atlanta, GA",2026-01-20,AI103264,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-20,AI103289,5,5,96.825,116.19,
current,"Atlanta, GA",2026-01-20,AI103976,2,2,86.051,103.26,
current,"Atlanta, GA",2026-01-20,SMCCOLLUM,2,2,57.127,68.55,
current,"Atlanta, GA",2026-01-21,40324200,2,2,12.529,15.03,
current,"Atlanta, GA",2026-01-21,AI005576,2,2,19.328,23.19,
current,"Atlanta, GA",2026-01-21,AI102087,5,5,50.496,60.6,
current,"Atlanta, GA",2026-01-21,AI102315,3,3,8.182,9.82,
current,"Atlanta, GA",2026-01-21,AI102608,5,4,20.375,24.45,
current,"Atlanta, GA",2026-01-21,AI102961,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-21,AI102977,5,5,31.159,37.39,
current,"Atlanta, GA",2026-01-21,AI103128,3,3,39.489,47.39,
current,"Atlanta, GA",2026-01-21,AI103143,4,4,123.323,147.99,
current,"Atlanta, GA",2026-01-21,AI103146,2,2,76.867,92.24,
current,"Atlanta, GA",2026-01-21,AI103261,3,3,51.957,62.35,
current,"Atlanta, GA",2026-01-21,AI103264,3,3,28.218,33.86,
current,"Atlanta, GA",2026-01-21,AI103289,3,3,40.54,48.65,
current,"Atlanta, GA",2026-01-21,SMCCOLLUM,3,3,84.073,100.89,
current,"Atlanta, GA",2026-01-22,40324200,6,6,135.333,162.4,
current,"Atlanta, GA",2026-01-22,40324201,2,2,8.79,10.55,
current,"Atlanta, GA",2026-01-22,AI005576,3,3,20.947,25.14,
current,"Atlanta, GA",2026-01-22,AI102087,5,5,43.094,51.71,
current,"Atlanta, GA",2026-01-22,AI102315,2,2,10.602,12.72,
current,"Atlanta, GA",2026-01-22,AI102608,3,2,9.477,11.37,
current,"Atlanta, GA",2026-01-22,AI102933,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-22,AI102961,3,3,38.978,46.77,
current,"Atlanta, GA",2026-01-22,AI103128,3,3,55.457,66.55,
current,"Atlanta, GA",2026-01-22,AI103143,6,6,187.796,225.36,
current,"Atlanta, GA",2026-01-22,AI103146,2,2,4.998,6.0,
current,"Atlanta, GA",2026-01-22,AI103261,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-22,AI103264,2,2,31.766,38.12,
current,"Atlanta, GA",2026-01-22,AI103289,7,7,178.968,214.76,
current,"Atlanta, GA",2026-01-22,AI103317,3,2,43.379,52.06,
current,"Atlanta, GA",2026-01-22,SMCCOLLUM,5,5,155.893,187.07,
current,"Atlanta, GA",2026-01-23,40324200,7,7,123.921,148.7,
current,"Atlanta, GA",2026-01-23,AI005576,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-23,AI100033,2,2,42.533,51.04,
current,"Atlanta, GA",2026-01-23,AI102087,4,4,32.191,38.63,
current,"Atlanta, GA",2026-01-23,AI102315,3,3,43.437,52.12,
current,"Atlanta, GA",2026-01-23,AI102608,5,4,38.248,45.9,
current,"Atlanta, GA",2026-01-23,AI102933,2,2,48.219,57.86,
current,"Atlanta, GA",2026-01-23,AI102961,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-23,AI102977,4,4,34.412,41.29,
current,"Atlanta, GA",2026-01-23,AI103128,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-23,AI103143,2,2,70.953,85.14,
current,"Atlanta, GA",2026-01-23,AI103146,3,3,42.755,51.31,
current,"Atlanta, GA",2026-01-23,AI103261,2,2,48.466,58.16,
current,"Atlanta, GA",2026-01-23,AI103264,2,2,8.985,10.78,
current,"Atlanta, GA",2026-01-23,SMCCOLLUM,2,2,23.18,27.82,
current,"Atlanta, GA",2026-01-24,40324200,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-26,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-26,AI102087,3,3,31.246,37.5,
current,"Atlanta, GA",2026-01-26,AI102315,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-26,AI102448,3,3,12.804,15.36,
current,"Atlanta, GA",2026-01-26,AI102608,9,8,72.514,87.02,
current,"Atlanta, GA",2026-01-26,AI102961,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-26,AI102977,2,2,16.797,20.16,
current,"Atlanta, GA",2026-01-26,SMCCOLLUM,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-27,40324200,8,8,95.725,114.87,
current,"Atlanta, GA",2026-01-27,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-27,AI005576,2,2,11.308,13.57,
current,"Atlanta, GA",2026-01-27,AI102087,2,2,12.793,15.35,
current,"Atlanta, GA",2026-01-27,AI102315,4,4,66.439,79.73,
current,"Atlanta, GA",2026-01-27,AI102448,3,3,43.297,51.96,
current,"Atlanta, GA",2026-01-27,AI102608,5,4,27.868,33.44,
current,"Atlanta, GA",2026-01-27,AI102933,2,2,34.743,41.69,
current,"Atlanta, GA",2026-01-27,AI102961,4,4,104.15,124.98,
current,"Atlanta, GA",2026-01-27,AI102977,3,3,29.513,35.42,
current,"Atlanta, GA",2026-01-27,AI103143,4,4,101.799,122.16,
current,"Atlanta, GA",2026-01-27,AI103146,4,4,14.425,17.31,
current,"Atlanta, GA",2026-01-27,AI103261,3,3,13.558,16.27,
current,"Atlanta, GA",2026-01-27,AI103264,2,2,16.116,19.34,
current,"Atlanta, GA",2026-01-27,AI103317,2,2,62.415,74.9,
current,"Atlanta, GA",2026-01-27,AI105115,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-27,SMCCOLLUM,2,2,32.134,38.56,
current,"Atlanta, GA",2026-01-28,40324200,6,6,106.392,127.67,
current,"Atlanta, GA",2026-01-28,AI005576,2,2,7.737,9.28,
current,"Atlanta, GA",2026-01-28,AI102087,5,5,47.41,56.89,
current,"Atlanta, GA",2026-01-28,AI102315,3,3,71.442,85.73,
current,"Atlanta, GA",2026-01-28,AI102448,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-28,AI102608,3,3,37.84,45.41,
current,"Atlanta, GA",2026-01-28,AI102933,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-28,AI102961,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-28,AI102977,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-28,AI103128,2,2,47.811,57.37,
current,"Atlanta, GA",2026-01-28,AI103143,4,4,175.685,210.82,
current,"Atlanta, GA",2026-01-28,AI103146,4,4,20.991,25.19,
current,"Atlanta, GA",2026-01-28,AI103261,3,3,34.247,41.1,
current,"Atlanta, GA",2026-01-28,AI103264,3,3,31.187,37.42,
current,"Atlanta, GA",2026-01-28,AI103317,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-28,AI105115,2,2,72.122,86.55,
current,"Atlanta, GA",2026-01-29,40324200,5,5,157.402,188.88,
current,"Atlanta, GA",2026-01-29,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-29,AI005576,2,2,24.837,29.8,
current,"Atlanta, GA",2026-01-29,AI102315,2,2,11.734,14.08,
current,"Atlanta, GA",2026-01-29,AI102448,2,2,29.013,34.82,
current,"Atlanta, GA",2026-01-29,AI102608,4,4,49.334,59.2,
current,"Atlanta, GA",2026-01-29,AI102933,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-29,AI102961,2,2,19.174,23.01,
current,"Atlanta, GA",2026-01-29,AI102977,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-29,AI103128,3,3,11.631,13.96,
current,"Atlanta, GA",2026-01-29,AI103143,3,3,66.652,79.98,
current,"Atlanta, GA",2026-01-29,AI103146,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-29,AI103261,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-29,AI105115,4,4,89.834,107.8,
current,"Atlanta, GA",2026-01-29,AI105116,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-30,40324200,10,10,186.281,223.54,
current,"Atlanta, GA",2026-01-30,AI102315,4,4,71.241,85.49,
current,"Atlanta, GA",2026-01-30,AI102448,6,6,38.643,46.37,
current,"Atlanta, GA",2026-01-30,AI102608,5,5,102.216,122.66,
current,"Atlanta, GA",2026-01-30,AI102933,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-30,AI102961,1,1,0.0,0.0,
current,"Atlanta, GA",2026-01-30,AI102977,4,4,10.631,12.76,
current,"Atlanta, GA",2026-01-30,AI103128,2,2,52.223,62.67,
current,"Atlanta, GA",2026-01-30,AI103146,2,2,18.141,21.77,
current,"Atlanta, GA",2026-01-30,AI103264,3,2,16.032,19.24,
current,"Atlanta, GA",2026-01-30,AI105115,6,6,97.699,117.24,
current,"Atlanta, GA",2026-01-30,AI105116,2,2,42.662,51.19,
current,"Atlanta, GA",2026-01-30,SMCCOLLUM,2,2,67.093,80.51,
current,"Atlanta, GA",2026-01-31,AI105116,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-02,40324200,5,5,126.035,151.24,
current,"Atlanta, GA",2026-02-02,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-02,AI102087,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-02,AI102315,6,6,96.439,115.73,
current,"Atlanta, GA",2026-02-02,AI102448,4,4,59.832,71.8,
current,"Atlanta, GA",2026-02-02,AI102608,5,5,46.753,56.1,
current,"Atlanta, GA",2026-02-02,AI102933,3,3,25.204,30.24,
current,"Atlanta, GA",2026-02-02,AI102961,2,2,20.138,24.17,
current,"Atlanta, GA",2026-02-02,AI102977,3,3,11.813,14.18,
current,"Atlanta, GA",2026-02-02,AI103261,6,6,67.482,80.98,
current,"Atlanta, GA",2026-02-02,AI103264,5,5,41.743,50.09,
current,"Atlanta, GA",2026-02-02,AI105115,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-02,SMCCOLLUM,6,6,113.285,135.94,
current,"Atlanta, GA",2026-02-03,40324200,10,10,199.615,239.54,
current,"Atlanta, GA",2026-02-03,AI102087,4,4,33.338,40.01,
current,"Atlanta, GA",2026-02-03,AI102315,3,3,13.029,15.64,
current,"Atlanta, GA",2026-02-03,AI102448,3,2,24.113,28.94,
current,"Atlanta, GA",2026-02-03,AI102608,6,5,44.735,53.68,
current,"Atlanta, GA",2026-02-03,AI102933,3,3,20.914,25.1,
current,"Atlanta, GA",2026-02-03,AI102961,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-03,AI102977,5,5,24.445,29.33,
current,"Atlanta, GA",2026-02-03,AI103128,2,2,48.916,58.7,
current,"Atlanta, GA",2026-02-03,AI103146,4,4,25.289,30.35,
current,"Atlanta, GA",2026-02-03,AI103261,5,5,95.223,114.27,
current,"Atlanta, GA",2026-02-03,AI103264,3,3,36.107,43.33,
current,"Atlanta, GA",2026-02-03,AI105115,4,4,91.282,109.54,
current,"Atlanta, GA",2026-02-03,AI105116,3,3,54.337,65.2,
current,"Atlanta, GA",2026-02-03,SMCCOLLUM,4,4,108.636,130.36,
current,"Atlanta, GA",2026-02-04,40324200,7,7,193.658,232.39,
current,"Atlanta, GA",2026-02-04,AI005576,2,2,4.64,5.57,
current,"Atlanta, GA",2026-02-04,AI102087,6,6,97.307,116.77,
current,"Atlanta, GA",2026-02-04,AI102315,5,5,38.908,46.69,
current,"Atlanta, GA",2026-02-04,AI102448,2,2,41.541,49.85,
current,"Atlanta, GA",2026-02-04,AI102608,4,4,18.765,22.52,
current,"Atlanta, GA",2026-02-04,AI102933,4,4,65.521,78.63,
current,"Atlanta, GA",2026-02-04,AI103128,3,3,38.989,46.79,
current,"Atlanta, GA",2026-02-04,AI103146,4,4,17.644,21.17,
current,"Atlanta, GA",2026-02-04,AI103261,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-04,AI103264,4,4,28.491,34.19,
current,"Atlanta, GA",2026-02-04,AI105115,4,4,43.114,51.74,
current,"Atlanta, GA",2026-02-04,SMCCOLLUM,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-05,40324200,4,4,52.696,63.24,
current,"Atlanta, GA",2026-02-05,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-05,AI005576,2,2,13.921,16.7,
current,"Atlanta, GA",2026-02-05,AI102087,4,4,54.47,65.36,
current,"Atlanta, GA",2026-02-05,AI102315,6,6,58.792,70.55,
current,"Atlanta, GA",2026-02-05,AI102448,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-05,AI102608,5,5,48.169,57.8,
current,"Atlanta, GA",2026-02-05,AI102933,3,3,18.941,22.73,
current,"Atlanta, GA",2026-02-05,AI102961,3,3,19.586,23.5,
current,"Atlanta, GA",2026-02-05,AI102977,5,5,40.748,48.9,
current,"Atlanta, GA",2026-02-05,AI103128,5,5,76.437,91.72,
current,"Atlanta, GA",2026-02-05,AI103146,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-05,AI103261,4,4,64.358,77.23,
current,"Atlanta, GA",2026-02-05,AI103264,5,5,24.331,29.2,
current,"Atlanta, GA",2026-02-05,AI105115,2,2,15.289,18.35,
current,"Atlanta, GA",2026-02-05,AI105116,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-05,SMCCOLLUM,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-06,40324200,4,4,44.776,53.73,
current,"Atlanta, GA",2026-02-06,40324201,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-06,AI102087,5,5,59.389,71.27,
current,"Atlanta, GA",2026-02-06,AI102315,3,3,28.762,34.51,
current,"Atlanta, GA",2026-02-06,AI102448,2,2,6.297,7.56,
current,"Atlanta, GA",2026-02-06,AI102608,4,3,39.968,47.96,
current,"Atlanta, GA",2026-02-06,AI102961,2,2,22.243,26.69,
current,"Atlanta, GA",2026-02-06,AI103128,4,4,35.909,43.09,
current,"Atlanta, GA",2026-02-06,AI103146,2,2,9.366,11.24,
current,"Atlanta, GA",2026-02-06,AI103264,3,2,23.967,28.76,
current,"Atlanta, GA",2026-02-06,AI105115,3,3,63.785,76.54,
current,"Atlanta, GA",2026-02-06,AI105116,2,2,24.941,29.93,
current,"Atlanta, GA",2026-02-06,SMCCOLLUM,4,4,109.824,131.79,
current,"Atlanta, GA",2026-02-07,AI102977,4,4,30.949,37.14,
current,"Atlanta, GA",2026-02-07,AI103128,3,3,62.158,74.59,
current,"Atlanta, GA",2026-02-09,40324200,5,5,71.623,85.95,
current,"Atlanta, GA",2026-02-09,AI005576,4,4,15.239,18.29,
current,"Atlanta, GA",2026-02-09,AI102087,2,2,10.054,12.06,
current,"Atlanta, GA",2026-02-09,AI102315,4,4,69.365,83.24,
current,"Atlanta, GA",2026-02-09,AI102448,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-09,AI102608,5,5,29.645,35.57,
current,"Atlanta, GA",2026-02-09,AI102933,1,1,0.0,0.0,
current,"Atlanta, GA",2026-02-09,AI102961,3,3,103.185,123.82,
current,"Atlanta, GA",2026-02-09,AI102977,2,2,13.866,16.64,
current,"Atlanta, GA",2026-02-09,AI103128,2,2,36.369,43.64,
current,"Atlanta, GA",2026-02-09,AI103146,3,3,10.952,13.14,
current,"Atlanta, GA",2026-02-09,AI103261,5,5,52.806,63.37,
current,"Atlanta, GA",2026-02-09,AI103264,4,4,22.667,27.2,
current,"Atlanta, GA",2026-02-09,AI105116,2,2,16.992,20.39,
